slug;name;letter;category;teaser;body;example;synonyms;related;source
orchestrierung;Orchestrierung;O;Technik & Daten;Übergeordnete Steuerung, die passende Agenten oder Skills für einen Anwendungsfall auswählt und koordiniert.;Übergeordnete Steuerung, die passende Agenten oder Skills für einen Anwendungsfall auswählt und koordiniert.;Ein Orchestrierungs-Agent nimmt eine Kundenanfrage entgegen, leitet die Recherche an einen Such-Agenten und die Formulierung an einen Text-Agenten weiter.;"[""Orchestration"",""Agenten-Orchestrierung"",""Workflow-Orchestrierung""]";"[""multi-agenten-system"",""ki-agent"",""skills-claude"",""tool-use-werkzeugnutzung"",""mcp-model-context-protocol""]";
output-statt-zeit-fuer-geld-modell;Output- statt Zeit-für-Geld-Modell;O;Management & Strategie;Verlagerung von der Abrechnung nach Zeit hin zur Vergütung nach geschaffenem Wert oder Ergebnis.;Verlagerung von der Abrechnung nach Zeit hin zur Vergütung nach geschaffenem Wert oder Ergebnis.;Eine Agentur stellt von Stundensätzen auf Festpreise pro fertiges Konzept um, weil sie mit KI dieselbe Qualität in einem Bruchteil der Zeit liefert.;"[""Ergebnisbasierte Vergütung"",""Value-based Pricing"",""Wertbasierte Abrechnung""]";"[""wertschoepfung-durch-ki"",""effizienzsteigerung"",""taetigkeitswandel"",""pay-per-use""]";
palantir;Palantir;P;Tools & Anwendungen;Als Beispiel genanntes Unternehmen, dessen Überwachungslösungen auf Computer-Vision-Technik aufbauen.;Als Beispiel genanntes Unternehmen, dessen Überwachungslösungen auf Computer-Vision-Technik aufbauen.;"Eine Behörde setzt Palantir-Software ein, um Datenquellen zu verknüpfen; der KI-Manager prüft, ob das mit DSGVO und EU AI Act vereinbar ist.";"[""Palantir Technologies""]";"[""computer-vision"",""biometrische-echtzeit-fernueberwachung"",""social-scoring"",""ki-ethik""]";
pay-per-use;Pay-per-Use;P;Tools & Anwendungen;Nutzungsbasiertes Lizenzmodell, das gut für unregelmäßigen Einsatz passt, bei hoher Skalierung aber ein Kostenrisiko birgt.;Nutzungsbasiertes Lizenzmodell, das gut für unregelmäßigen Einsatz passt, bei hoher Skalierung aber ein Kostenrisiko birgt.;Ein Start-up wählt für ein OCR-Tool Pay-per-Use, muss aber bei plötzlich hohem Dokumentenaufkommen mit stark steigenden Monatskosten rechnen.;"[""Pay per Use"",""Nutzungsbasierte Abrechnung"",""Verbrauchsabhängige Abrechnung"",""Usage-based Pricing""]";"[""lizenzmodell-skalierbarkeit-kriterium"",""einmallizenz"",""tokenomics-tokenomie"",""software-as-a-service-saas""]";
pdca-zyklus;PDCA-Zyklus;P;Methoden & Frameworks;Plan-Do-Check-Act-Kreislauf, der iteratives Verbessern als geschlossenen Zyklus darstellt.;Plan-Do-Check-Act-Kreislauf, der iteratives Verbessern als geschlossenen Zyklus darstellt.;Ein Team führt einen KI-Chatbot ein, misst nach zwei Wochen die Antwortqualität, verbessert die Prompts und startet dann den nächsten Verbesserungszyklus.;"[""PDCA"",""Plan-Do-Check-Act"",""Demingkreis"",""Deming-Zyklus""]";"[""iteratives-verfeinern-nachschaerfen-im-selben-chat"",""iterationsschleife"",""iso-9001"",""lessons-learned-runde""]";
peco-methode;PECO-Methode;P;Methoden & Frameworks;Prompt-Struktur aus Persona, Instruktion, Kontext, Constraints und Outcome als Checkliste für gute Prompts.;Prompt-Struktur aus Persona, Instruktion, Kontext, Constraints und Outcome als Checkliste für gute Prompts.;Ein Mitarbeiter baut seinen Prompt nach PECO auf: Rolle Marketingexpertin, Aufgabe Textentwurf, Kontext Zielgruppe, Vorgabe maximal 100 Wörter, gewünschtes Ergebnis ein LinkedIn-Post.;"[""PECO"",""PECO-Framework""]";"[""pico-c-modell"",""costa-methode"",""prompt-engineering"",""apa-methode"",""race-raft-methode""]";
persona;Persona;P;Methoden & Frameworks;Der KI zugewiesene Rolle oder Charakter, um Tonalität und Perspektive der Ausgabe zu steuern.;Der KI zugewiesene Rolle oder Charakter, um Tonalität und Perspektive der Ausgabe zu steuern.;Ein Nutzer beginnt den Prompt mit Du bist eine erfahrene Steuerberaterin, woraufhin die KI fachlich und im passenden Ton antwortet.;"[""Rolle"",""Rollenzuweisung"",""Persona-Prompt""]";"[""rollenprompt"",""prompt-engineering"",""pico-c-modell"",""system-prompt"",""kontext-im-prompt""]";
personalisierte-kundenkommunikation;Personalisierte Kundenkommunikation;P;Management & Strategie;KI schneidet Botschaften und Angebote in Echtzeit auf einzelne Kunden zu statt segmentierter Massenkommunikation.;KI schneidet Botschaften und Angebote in Echtzeit auf einzelne Kunden zu statt segmentierter Massenkommunikation.;Ein Onlineshop zeigt jedem Besucher in Echtzeit individuell zugeschnittene Produktempfehlungen und Betreffzeilen, was die Klickrate der Newsletter deutlich erhöht.;"[""Personalisierte Kommunikation"",""1:1-Kundenkommunikation"",""Personalized Communication""]";"[""segmentierte-kommunikation"",""personalisierte-produktempfehlung"",""wertschoepfung-durch-ki"",""konversionsrate"",""kundenbindung""]";
personalisierte-produktempfehlung;Personalisierte Produktempfehlung;P;Tools & Anwendungen;Handels-Use-Case, bei dem KI aus dem Kaufverhalten passende Produktvorschläge berechnet.;Handels-Use-Case, bei dem KI aus dem Kaufverhalten passende Produktvorschläge berechnet.;Ein Streamingdienst schlägt einem Nutzer auf Basis seiner Sehgewohnheiten neue Serien vor, die zu seinem Geschmack passen.;"[""Produktempfehlung"",""Recommendation"",""Produktvorschlag""]";"[""empfehlungssystem"",""personalisierte-kundenkommunikation"",""maschinelles-lernen"",""use-case""]";
pico-c-modell;PICO(C)-Modell;P;Methoden & Frameworks;Prompt-Struktur aus Persona, Instructions, Context, Constraints und Output zur präzisen Prompt- und GPT-Konfiguration.;Prompt-Struktur aus Persona, Instructions, Context, Constraints und Output zur präzisen Prompt- und GPT-Konfiguration.;Beim Anlegen eines Custom GPT für die Angebotserstellung füllt der Nutzer alle PICO(C)-Felder aus, damit das GPT dauerhaft im richtigen Ton und Format arbeitet.;"[""PICO"",""PICOC"",""PICO(C)"",""PICO-Methode""]";"[""peco-methode"",""costa-methode"",""prompt-engineering"",""persona"",""custom-gpt""]";
pilotphase;Pilotphase;P;Methoden & Frameworks;Begrenzter Testlauf mit klarem Zeitraum, heterogener Nutzergruppe und messbaren Erfolgskriterien vor dem vollen Rollout.;Begrenzter Testlauf mit klarem Zeitraum, heterogener Nutzergruppe und messbaren Erfolgskriterien vor dem vollen Rollout.;Ein Unternehmen testet ein KI-Assistenzsystem sechs Wochen lang mit 20 ausgewählten Mitarbeitenden aus verschiedenen Abteilungen und misst Zeitersparnis und Akzeptanz.;"[""Pilotierung"",""Pilot Phase"",""Testphase""]";"[""pilotprojekt"",""pilotumfeld"",""proof-of-concept"",""roadmap"",""baseline-ausgangswert-messung""]";
pilotprojekt;Pilotprojekt;P;Management & Strategie;Begrenzter Testlauf vor dem vollständigen Rollout eines Use Case.;Begrenzter Testlauf vor dem vollständigen Rollout eines Use Case.;Eine Versicherung erprobt in der Schadenabteilung ein KI-Tool, bevor sie über den Einsatz im ganzen Unternehmen entscheidet.;"[""Pilot"",""Pilot Project"",""Pilotvorhaben""]";"[""pilotphase"",""leuchtturmprojekte"",""proof-of-concept"",""quick-wins"",""use-case""]";
pilotumfeld;Pilotumfeld;P;Change & Organisation;Abgegrenzte Testumgebung, in der ein KI-Prozess mit Testdaten erprobt wird, bevor er live geschaltet wird.;Abgegrenzte Testumgebung, in der ein KI-Prozess mit Testdaten erprobt wird, bevor er live geschaltet wird.;Ein Team testet einen automatisierten Rechnungs-Workflow zunächst in einem abgeschotteten Pilotumfeld mit Testrechnungen, bevor echte Belege verarbeitet werden.;"[""Pilotumgebung"",""Testumgebung"",""Sandbox""]";"[""pilotphase"",""proof-of-concept"",""synthetische-daten"",""guardrails-leitplanken""]";
praeventive-wartung;Präventive Wartung;P;Methoden & Frameworks;Wartung nach festem Kalenderintervall, unabhängig vom tatsächlichen Zustand oder Bedarf der Maschine.;Wartung nach festem Kalenderintervall, unabhängig vom tatsächlichen Zustand oder Bedarf der Maschine.;Ein Fuhrpark lässt jedes Fahrzeug alle 15.000 Kilometer warten, egal wie stark es beansprucht wurde.;"[""Präventive Wartung"",""vorbeugende Wartung"",""Preventive Maintenance"",""geplante Wartung""]";"[""reaktive-wartung"",""predictive-maintenance"",""zustandsbasierte-wartung"",""prescriptive-maintenance""]";
pre-training-vortraining;Pre-training (Vortraining);P;KI-Grundlagen;Erstes, breites Training eines Modells auf großen allgemeinen Datenmengen, bevor es für spezifische Aufgaben angepasst wird.;"Pre-training ist der erste Schritt im Training moderner KI-Modelle: Das Modell lernt allgemeine Muster und Strukturen aus großen, unbeschrifteten Datensätzen (z. B. Wikipedia, Bücher, Nachrichtenartikel). Anschließend kann es durch Fine-Tuning auf spezifische Aufgaben spezialisiert werden.

Techniken: Masked Language Modeling (MLM, für BERT), Auto-regressive Modellierung (nächstes Wort vorhersagen, für GPT), Next Sentence Prediction (NSP), Denoising Autoencoder. Selbstüberwachtes Lernen: das Modell generiert seine eigenen Trainingsaufgaben aus ungelabelten Daten.

Vorteile: Effizienz (ein Grundmodell für viele Aufgaben), weniger Label-Bedarf, verbesserte Leistung durch breites Vorwissen. Pre-training ist die Grundlage für Foundation Models und hat die KI-Forschung und -Praxis fundamental verändert.";Ein Sprachmodell wird zunächst auf Milliarden Webtexten vortrainiert und danach mit firmeneigenen Dokumenten für den Kundensupport feinjustiert.;"[""Pretraining"",""Vortraining"",""Pre-Training""]";"[""fine-tuning"",""foundation-model-grundlagenmodell"",""trainingsdaten"",""instruction-tuning-anweisungsoptimierung"",""transfer-learning""]";https://ki-manager-methoden.lovable.app/glossar
predictive-ai-prozess-ki;Predictive AI / Prozess-KI;P;KI-Grundlagen;KI-Typ, der aus historischen Daten Muster erkennt, die Zukunft vorhersagt und Prozesse automatisiert.;KI-Typ, der aus historischen Daten Muster erkennt, die Zukunft vorhersagt und Prozesse automatisiert.;Ein Logistiker nutzt Predictive AI, um aus Bestell- und Wetterdaten die Auslastung seiner Lager für die nächste Woche vorherzusagen.;"[""Predictive AI"",""Prozess-KI"",""Prädiktive KI"",""Vorhersage-KI""]";"[""predictive-analytics"",""generative-ki"",""maschinelles-lernen"",""predictive-maintenance"",""mustererkennung""]";
predictive-analytics;Predictive Analytics;P;Technik & Daten;Datenbasierte Vorhersage künftiger Ereignisse mithilfe statistischer und maschineller Modelle.;"Predictive Analytics ist ein Teilbereich der Datenanalyse, der sich auf die Vorhersage zukünftiger Ereignisse konzentriert. Es kombiniert historische Daten, maschinelles Lernen, Statistik und Modellierung, um Wahrscheinlichkeiten für bestimmte Ergebnisse zu berechnen. Beispiele: Kundenabwanderungsvorhersage, Maschinenwartungsvorhersage, Umsatzprognosen.

Methoden: Supervised Learning (Entscheidungsbäume, SVMs, neuronale Netze), Statistik (Regressionsmodelle, ARIMA-Zeitreihenanalyse), Datenvisualisierung (Tableau, Power BI), Big-Data-Technologien (Spark, Hadoop). Schritte: Datensammlung → Aufbereitung → Merkmalsextraktion → Modelltraining → Einsatz.

Anwendungsbereiche: Marketing/Vertrieb (Kundenbindung, Personalisierung), Gesundheitswesen (Krankheitsrisiko), Finanzwesen (Betrugserkennung), Industrie (Predictive Maintenance), Logistik (Lieferketten).";Ein Hersteller erkennt mit Predictive Analytics anhand von Lieferanten- und Transportdaten frühzeitig einen drohenden Materialengpass und disponiert um.;"[""Predictive Analytics (Prädiktive Analysen)"",""Predictive Analytics"",""Prädiktive Analysen"",""Prädiktive Analytik"",""Vorausschauende Analyse""]";"[""predictive-ai-prozess-ki"",""predictive-maintenance"",""nachfrageprognose"",""lieferkettenoptimierung"",""maschinelles-lernen""]";https://ki-manager-methoden.lovable.app/glossar
single-sign-on-sso;Single Sign-On (SSO);S;Technik & Daten;Verfahren, bei dem sich Nutzer einmal anmelden und damit Zugriff auf mehrere Systeme erhalten.;Verfahren, bei dem sich Nutzer einmal anmelden und damit Zugriff auf mehrere Systeme erhalten.;"Ein neues KI-Tool wird kaum genutzt, weil Mitarbeitende sich separat anmelden müssen; nach Anbindung an das SSO steigt die Nutzung deutlich.";"[""SSO"",""Single Sign On"",""Einmalanmeldung"",""Zentrale Anmeldung""]";"[""integrationsfaehigkeit"",""zugangsregeln-berechtigungskonzepte"",""interoperabilitaet"",""toolauswahl-als-managementaufgabe"",""datensicherheit-und-regulatorische-konformitaet""]";
single-source-of-truth;Single Source of Truth;S;Management & Strategie;Ein zentraler, verbindlicher Ablageort aller relevanten Informationen, auf den jedes System und jede KI zugreift.;Ein zentraler, verbindlicher Ablageort aller relevanten Informationen, auf den jedes System und jede KI zugreift.;Alle Produktinformationen liegen zentral in einem System, sodass Chatbot, Website und Vertrieb stets denselben aktuellen Stand nutzen.;"[""SSOT"",""Single Source of Truth"",""Einzige Wahrheitsquelle"",""Zentrale Datenquelle""]";"[""data-governance"",""datenqualitaet"",""glossar-als-vereinheitlichung"",""second-brain-externes-gehirn"",""datensilos""]";
skill-creator;Skill Creator;S;Tools & Anwendungen;Funktion, die per Reverse Engineering aus einer Arbeitssitzung einen wiederverwendbaren Skill erstellt.;Funktion, die per Reverse Engineering aus einer Arbeitssitzung einen wiederverwendbaren Skill erstellt.;Nach einer gelungenen Sitzung zur Handout-Erstellung lässt der Nutzer daraus per Skill Creator einen Skill generieren, der den Ablauf künftig automatisiert.;"[""Skill-Creator"",""Skill-Generator"",""Skill-Ersteller""]";"[""skills-claude"",""reverse-engineering-skill-erstellung"",""claude"",""custom-gpt"",""system-prompt""]";
skills-claude;Skills (Claude);S;Tools & Anwendungen;Wiederverwendbare Handlungsanweisungen oder Rezepte für Claude, die Aufgaben genauer und reproduzierbarer erledigen als Custom GPTs.;Wiederverwendbare Handlungsanweisungen oder Rezepte für Claude, die Aufgaben genauer und reproduzierbarer erledigen als Custom GPTs.;Ein Trainer hinterlegt einen Skill, der aus jedem Seminartranskript automatisch ein Handout in einheitlichem Layout erzeugt.;"[""Claude Skills"",""Skill-Generator"",""Claude-Skills"",""Fähigkeiten (Claude)""]";"[""skill-creator"",""custom-gpt"",""claude"",""system-prompt"",""prompt-bibliothek""]";
soc-2;SOC 2;S;Recht & Regulatorik;US-amerikanisches Rahmenwerk für Informationssicherheit, das viele internationale Cloud-Anbieter nutzen.;US-amerikanisches Rahmenwerk für Informationssicherheit, das viele internationale Cloud-Anbieter nutzen.;Bei der Auswahl eines Cloud-KI-Dienstes verlangt das Unternehmen einen aktuellen SOC-2-Bericht als Sicherheitsnachweis.;"[""SOC 2"",""SOC2"",""Service Organization Control 2"",""SOC-2-Zertifizierung""]";"[""iso-27001"",""compliance"",""datensicherheit-und-regulatorische-konformitaet"",""zertifizierung-audit-auditoren"",""datensouveraenitaet""]";
skalierbarkeit;Skalierbarkeit;S;Management & Strategie;Struktureller Vorteil der KI, große Mengen konsistent und ohne proportionalen Personalaufbau zu bewältigen.;Struktureller Vorteil der KI, große Mengen konsistent und ohne proportionalen Personalaufbau zu bewältigen.;Eine KI verarbeitet 3.000 Eingangsrechnungen pro Stunde statt der bisherigen 30, ohne dass zusätzliche Mitarbeitende eingestellt werden müssen.;"[""Scalability"",""Skalierbarkeit durch Automatisierung"",""Skalierung"",""Nutzenfaktor Skalierbarkeit""]";"[""automatisierung-vs-ki"",""effizienzsteigerung"",""wertschoepfung-durch-effizienz"",""schnellere-marktreaktion""]";
social-scoring;Social Scoring;S;Recht & Regulatorik;Staatliche Bewertung von Bürgern durch ein Punktesystem, in der EU als Instrument totaler Kontrolle verboten.;Staatliche Bewertung von Bürgern durch ein Punktesystem, in der EU als Instrument totaler Kontrolle verboten.;Ein staatliches System, das Bürger nach Verhalten bewertet und ihnen bei niedrigem Score Reisen verwehrt, wäre in der EU verboten.;"[""Social Scoring"",""Sozialkredit-System"",""Soziales Punktesystem"",""Social Credit""]";"[""verbotene-ki-praktiken"",""unannehmbares-risiko"",""verbotene-ki-inakzeptables-risiko"",""eu-ai-act-artikel-4"",""biometrische-identifikation""]";
software-as-a-service-saas;Software as a Service (SaaS);S;Tools & Anwendungen;Lizenzmodell, bei dem Software als Abo über Browser oder App bezogen wird, schnell startbereit, aber mit laufenden Kosten.;Lizenzmodell, bei dem Software als Abo über Browser oder App bezogen wird, schnell startbereit, aber mit laufenden Kosten.;Ein Unternehmen bucht ein KI-Schreibtool als monatliches SaaS-Abo pro Nutzer, statt eine eigene Lösung zu betreiben.;"[""SaaS"",""Software as a Service"",""Software-als-Dienst"",""Mietsoftware"",""Cloud-Software""]";"[""pay-per-use"",""einmallizenz"",""self-hosting"",""on-premise"",""vendor-lock-in""]";
sora;Sora;S;Tools & Anwendungen;Videogenerierungsmodell von OpenAI, das bei der Darstellung realer Personen restriktiv ist.;Videogenerierungsmodell von OpenAI, das bei der Darstellung realer Personen restriktiv ist.;Ein Marketingteam erstellt mit Sora einen kurzen Produktclip aus einer Textbeschreibung, kann aber keine real existierende Prominente einbauen.;"[""Sora"",""OpenAI Sora"",""Sora 2""]";"[""google-veo"",""kling"",""deepfake"",""generative-ki"",""higgsfield""]";
spracherkennung;Spracherkennung;S;Tools & Anwendungen;Umwandlung gesprochener Sprache in Text durch KI-Systeme.;"Spracherkennung (Automatic Speech Recognition, ASR) ist die Technologie, die es Maschinen ermöglicht, gesprochene Sprache zu verstehen, in Text umzuwandeln und darauf zu reagieren. Sie wird in Sprachassistenten, Call-Centern und barrierefreien Technologien eingesetzt.

Funktionsweise: Audioeingabe (digitales Signal) → Vorverarbeitung (Signalverarbeitung, Feature-Extraktion via MFCCs) → Mustererkennung (Akustikmodell: Phoneme; Sprachmodell: Wörter) → Ausgabe (transkribierter Text). Technologien: neuronale Netze (CNN, RNN), Hidden Markov Models, Transformer-Modelle, Cloud-APIs.

Anwendungsbereiche: virtuelle Assistenten (Alexa, Siri, Google), barrierefreie Technologien, Call-Center-Automatisierung, Echtzeit-Untertitelung, medizinische Dokumentation per Sprache.";Ein Team lässt eine Zoom-Besprechung automatisch transkribieren, um daraus Protokoll und Aufgabenliste zu erstellen.;"[""Speech Recognition"",""Speech-to-Text"",""STT"",""Automatische Spracherkennung"",""ASR""]";"[""natural-language-processing"",""whisperflow"",""ocr-optische-zeichenerkennung"",""multimodale-modelle"",""use-case""]";https://ki-manager-methoden.lovable.app/glossar
stable-diffusion;Stable Diffusion;S;Tools & Anwendungen;Bekanntes, quelloffenes Bildgenerierungsmodell auf Basis der Diffusionstechnik.;Bekanntes, quelloffenes Bildgenerierungsmodell auf Basis der Diffusionstechnik.;Ein Designteam betreibt Stable Diffusion lokal, um Produktvisualisierungen zu erzeugen, ohne Bilddaten an einen Cloud-Anbieter zu senden.;"[""Stable Diffusion"",""SD"",""Stable-Diffusion-Modell""]";"[""diffusionsmodell"",""midjourney"",""dall-e"",""generative-ki"",""flux""]";
stakeholder-einbindung;Stakeholder-Einbindung;S;Change & Organisation;Das frühzeitige Einbeziehen von Befürwortern und mächtigen Gegnern, damit KI-Projekte nicht an Widerständen scheitern.;Das frühzeitige Einbeziehen von Befürwortern und mächtigen Gegnern, damit KI-Projekte nicht an Widerständen scheitern.;Der Betriebsrat wird schon in der Konzeptphase eines KI-Projekts beteiligt, um Mitbestimmungsrechte zu wahren und Vertrauen aufzubauen.;"[""Stakeholder-Einbindung"",""Stakeholder Engagement"",""Einbindung von Interessengruppen"",""Stakeholder-Management""]";"[""stakeholder-kommunikation"",""betriebsrat-mitbestimmung"",""change-management"",""multiplikatoren-change-agents"",""psychologische-sicherheit""]";
stakeholder-kommunikation;Stakeholder-Kommunikation;S;Change & Organisation;Ehrliche, zielgruppengerechte und regelmäßige Information aller Betroffenen über KI-Veränderungen als Managementaufgabe.;Ehrliche, zielgruppengerechte und regelmäßige Information aller Betroffenen über KI-Veränderungen als Managementaufgabe.;Vor dem Start eines KI-Tools informiert die Geschäftsführung Belegschaft, Kunden und Datenschutzbehörde jeweils in passender Form über Zweck und Auswirkungen.;"[""Stakeholder-Kommunikation"",""Stakeholder Communication"",""Interessengruppen-Kommunikation""]";"[""segmentierte-kommunikation"",""kommunikations-zielgruppen"",""nutzenorientierte-kommunikation"",""change-management"",""management-verantwortung-bei-der-ki-einfuehrung""]";
step-back-prompting;Step-Back-Prompting;S;Methoden & Frameworks;Prompting-Technik, bei der zuerst das übergeordnete Prinzip erfragt wird, bevor man in die Detailfrage einsteigt.;Prompting-Technik, bei der zuerst das übergeordnete Prinzip erfragt wird, bevor man in die Detailfrage einsteigt.;Statt sofort nach einer Marketingstrategie zu fragen, lässt man die KI zuerst die grundlegenden Erfolgsfaktoren guter Strategien nennen und geht dann ins Detail.;"[""Step-Back-Prompting"",""Step Back Prompting"",""Zurücktreten-Technik"",""Trichterprinzip""]";"[""prompt-engineering"",""chain-of-thought-gedankenkette"",""iteratives-verfeinern-nachschaerfen-im-selben-chat"",""prompting"",""metakontext-und-metaprompt""]";
stimmenklon;Stimmenklon;S;Technik & Daten;Künstlich nachgebildete Stimme einer realen Person auf Basis von Audioaufnahmen.;Künstlich nachgebildete Stimme einer realen Person auf Basis von Audioaufnahmen.;Ein Unternehmen klont mit Einwilligung die Stimme seines Sprechers, um Schulungsvideos in mehreren Sprachen zu vertonen.;"[""Stimmenklon"",""Voice Cloning"",""Stimmklon"",""Voice Clone"",""Stimmenklonierung""]";"[""elevenlabs"",""deepfake"",""deepfake-ki-avatar"",""synthetische-daten"",""kennzeichnungspflicht-ki-inhalte""]";
strategische-priorisierung;Strategische Priorisierung;S;Management & Strategie;Managemententscheidung, welcher Use Case die höchste Wirkung hat und realistisch umsetzbar ist.;Managemententscheidung, welcher Use Case die höchste Wirkung hat und realistisch umsetzbar ist.;Aus zehn Ideen wählt das Management per Priorisierungsmatrix die Rechnungsautomatisierung, weil sie hohen Nutzen bei geringem Aufwand verspricht.;"[""Strategische Priorisierung"",""Priorisierung von Use Cases"",""Portfolioentscheidung"",""Strategische Auswahl""]";"[""priorisierungsmatrix"",""use-case-identifikation"",""quick-wins"",""aufwand-nutzen-verhaeltnis"",""leuchtturmprojekte""]";
strukturierte-daten;Strukturierte Daten;S;Technik & Daten;Klar organisierte Daten in festem Format wie Tabellen, die sich maschinell leicht auswerten lassen.;"Strukturierte Daten sind Informationen, die in einem klar definierten Format (Tabellen mit Zeilen und Spalten) organisiert und gespeichert sind. Jede Spalte repräsentiert eine Kategorie, jede Zeile eine Dateneinheit. Beispiele: Kundenlisten, Verkaufsdaten, Finanzberichte.

Eigenschaften: klare Tabellenstruktur, relationale Datenbanken (MySQL, PostgreSQL), einheitliche Formate (CSV, SQL), Datenvalidierung und -normalisierung. Unterschied zu semi-strukturierten Daten (JSON, XML) und unstrukturierten Daten (Bilder, Videos, Freitext).

Vorteile: einfache Analyse (Excel, Tableau, SQL), automatisierte Verarbeitung, hohe Datenintegrität, Kompatibilität mit klassischen Analysewerkzeugen. Strukturierte Daten bilden die Grundlage für traditionelle Datenbankanalysen und sind auch in KI als Trainings- und Auswertungsdaten unverzichtbar.";Eine Excel-Tabelle mit Kundennummer, Umsatz und Datum ist strukturiert und kann direkt für eine Umsatzprognose ausgewertet werden.;"[""Strukturierte Daten"",""Structured Data"",""Tabellendaten"",""Formatierte Daten""]";"[""unstrukturierte-daten"",""datenqualitaet"",""big-data"",""data-mining"",""datenverfuegbarkeit""]";https://ki-manager-methoden.lovable.app/glossar
stufen-der-automatisierung;Stufen der Automatisierung;S;Methoden & Frameworks;Vierstufiges Modell von manueller Arbeit über regelbasiert und KI-gestützt bis zu vollständig autonomer Automatisierung.;Vierstufiges Modell von manueller Arbeit über regelbasiert und KI-gestützt bis zu vollständig autonomer Automatisierung.;Ein manueller Freigabeprozess wird zunächst regelbasiert automatisiert und später um ein KI-gestütztes Prüfmodell erweitert.;"[""Stufen der Automatisierung"",""Automatisierungsstufen"",""Automatisierungsgrade"",""Reifegrade der Automatisierung""]";"[""rpa-robotic-process-automation"",""automatisierung-vs-ki"",""ki-gestuetzte-automatisierung"",""autonomie-agent""]";
styleguide;Styleguide;S;Methoden & Frameworks;Hinterlegte Gestaltungsvorgaben wie Farben, Schrift und Layout, damit KI-Ausgaben einheitlich aussehen.;Hinterlegte Gestaltungsvorgaben wie Farben, Schrift und Layout, damit KI-Ausgaben einheitlich aussehen.;Ein Unternehmen gibt Claude seinen Styleguide mit Hausfarben und Schrift vor, sodass alle erzeugten Präsentationen im einheitlichen Design erscheinen.;"[""Styleguide"",""Style Guide"",""Gestaltungsrichtlinie"",""Corporate-Design-Vorgabe"",""Stilvorgabe""]";"[""formatvorgabe"",""system-prompt"",""skills-claude"",""prompt-bibliothek"",""kontext-im-prompt""]";
svg-grafik-claude;SVG-Grafik (Claude);S;Tools & Anwendungen;Programmierter Bildcode im SVG-Format, den Claude erzeugen kann, da es keine Bilder direkt rendert.;Programmierter Bildcode im SVG-Format, den Claude erzeugen kann, da es keine Bilder direkt rendert.;Statt ein Foto zu generieren, erzeugt Claude ein skalierbares SVG-Flussdiagramm, das direkt in eine Präsentation eingebettet wird.;"[""SVG-Grafik"",""SVG"",""Scalable Vector Graphics"",""Vektorgrafik (Claude)""]";"[""claude"",""artefakt"",""chatgpt-business"",""napkin-ai""]";
swimlane-diagramm;Swimlane-Diagramm;S;Methoden & Frameworks;Grafische Prozessdarstellung, in der jede Bahn eine Rolle oder Abteilung abbildet und Übergabepunkte sichtbar macht.;Grafische Prozessdarstellung, in der jede Bahn eine Rolle oder Abteilung abbildet und Übergabepunkte sichtbar macht.;Im Diagramm zeigt sich, dass ein Auftrag dreimal zwischen Vertrieb und Buchhaltung hin- und herwandert, was einen Automatisierungsansatz aufdeckt.;"[""Swimlane-Diagramm"",""Swimlane Diagram"",""Schwimmbahnen-Diagramm"",""Bahnendiagramm""]";"[""bpmn-business-process-model-and-notation"",""prozessanalyse"",""prozesslandschaft-prozesslandkarte"",""medienbruch"",""wertstromanalyse-value-stream-mapping""]";
textgenerierung;Textgenerierung;T;Tools & Anwendungen;Häufigstes Einsatzfeld generativer KI zum automatischen Erstellen von Texten, geeignet für Volumen und Wiederholbares.;Häufigstes Einsatzfeld generativer KI zum automatischen Erstellen von Texten, geeignet für Volumen und Wiederholbares.;Das Marketing lässt Produktbeschreibungen für hunderte Artikel per KI entwerfen und redigiert sie anschließend stichprobenartig.;"[""Textgenerierung"",""Text Generation"",""Texterstellung"",""Textproduktion""]";"[""generative-ki"",""large-language-model-grosses-sprachmodell"",""human-in-the-loop-hitl"",""halluzination"",""prompt-engineering""]";
iso-9001;ISO 9001;I;Recht & Regulatorik;Etablierte internationale Norm für Qualitätsmanagementsysteme, deren Logik die ISO 42001 auf KI überträgt.;Etablierte internationale Norm für Qualitätsmanagementsysteme, deren Logik die ISO 42001 auf KI überträgt.;Ein nach ISO 9001 zertifiziertes Unternehmen überträgt seine Prozesslogik auf den Aufbau eines KI-Managementsystems.;"[""ISO 9001"",""Norm für Qualitätsmanagement"",""QM-Norm""]";"[""iso-42001"",""iso-international-organization-for-standardization"",""pdca-zyklus"",""zertifizierung-audit-auditoren"",""ki-governance""]";
